epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,13559.8,0.57484,0.35962,1.03421,0.97462,0.95631,0.97264,0.831,0.64793,0.39667,1.01348,0.000924352,0.000924352,0.000924352
137,13639.5,0.56021,0.34877,1.02362,0.97848,0.96157,0.97448,0.83871,0.64495,0.40332,0.99783,0.00091885,0.00091885,0.00091885
138,13717.7,0.54593,0.34194,1.01642,0.98908,0.95894,0.97268,0.82544,0.68693,0.43063,1.0739,0.000913349,0.000913349,0.000913349
139,13798.8,0.55624,0.3426,1.02562,0.98253,0.95304,0.97308,0.83845,0.64077,0.40753,1.01223,0.000907848,0.000907848,0.000907848
140,13881.6,0.56355,0.34686,1.01888,0.98664,0.96157,0.97324,0.83633,0.64894,0.3908,1.03566,0.000902347,0.000902347,0.000902347
141,13964.1,0.54759,0.33815,1.01413,0.98576,0.95105,0.96825,0.83221,0.68123,0.39471,1.08572,0.000896846,0.000896846,0.000896846
142,14045.5,0.55793,0.35179,1.02017,0.98032,0.95075,0.96689,0.82315,0.66389,0.39947,1.04878,0.000891345,0.000891345,0.000891345
143,14126.6,0.54984,0.34078,1.01761,0.9751,0.96208,0.97169,0.82434,0.66635,0.41429,1.07656,0.000885844,0.000885844,0.000885844
144,14207.4,0.57336,0.34563,1.02751,0.97328,0.9642,0.97063,0.82497,0.66376,0.40364,1.0733,0.000880343,0.000880343,0.000880343
145,14288.1,0.5466,0.33182,1.01493,0.98361,0.9642,0.97422,0.83805,0.66324,0.38511,1.03744,0.000874842,0.000874842,0.000874842
146,14369.9,0.54944,0.33768,1.01666,0.97491,0.9642,0.96987,0.83322,0.67484,0.4317,1.0746,0.00086934,0.00086934,0.00086934
147,14457.8,0.54872,0.34062,1.00944,0.97869,0.96261,0.96675,0.8267,0.64671,0.43398,1.02863,0.000863839,0.000863839,0.000863839
148,14555,0.53356,0.33146,1.01349,0.97856,0.9642,0.97089,0.83174,0.66444,0.43308,1.05998,0.000858338,0.000858338,0.000858338
149,14647.7,0.53554,0.32844,1.00883,0.98798,0.96346,0.97135,0.83917,0.64147,0.40232,1.03451,0.000852837,0.000852837,0.000852837
150,14728.3,0.54951,0.34326,1.01741,0.98614,0.9642,0.9691,0.83369,0.67163,0.43054,1.06538,0.000847336,0.000847336,0.000847336
151,14805.5,0.54209,0.33915,1.0094,0.96868,0.96947,0.97013,0.83537,0.6353,0.42735,1.04956,0.000841835,0.000841835,0.000841835
152,14883.5,0.53318,0.32811,1.00884,0.97799,0.96683,0.97306,0.82972,0.6504,0.44107,1.05771,0.000836334,0.000836334,0.000836334
153,14961.9,0.54508,0.33695,1.01822,0.97798,0.96683,0.97199,0.83805,0.64081,0.42408,1.03718,0.000830833,0.000830833,0.000830833
154,15042.4,0.5514,0.33522,1.02019,0.97352,0.96157,0.97379,0.83965,0.64013,0.41745,1.0328,0.000825332,0.000825332,0.000825332
